,density,burn_percentage,directions,ticks
423,43.0,1.5321680922275938,4.0,37.0
424,43.0,1.290179887938661,4.0,25.0
425,43.0,1.1442841701144284,4.0,23.0
426,43.0,1.310547674894821,4.0,29.0
427,43.0,1.1888888888888889,4.0,35.0
428,43.0,1.2958963282937366,4.0,28.0
429,43.0,1.3120449421591456,4.0,34.0
430,44.0,1.2679719673434,4.0,25.0
431,44.0,1.1768539976825028,4.0,39.0
432,44.0,1.3610133197836896,4.0,29.0
433,44.0,1.2980420594633792,4.0,43.0
434,44.0,2.0572128548782245,4.0,41.0
435,44.0,1.4125118621797212,4.0,36.0
436,44.0,1.3610133197836896,4.0,43.0
437,44.0,1.074215205951733,4.0,27.0
438,44.0,1.5245009074410165,4.0,41.0
439,44.0,1.7227708498522307,4.0,35.0
440,45.0,1.2523880280195288,4.0,25.0
441,45.0,2.199667574353715,4.0,39.0
442,45.0,1.3225074457523756,4.0,29.0
443,45.0,1.1272198787706922,4.0,34.0
444,45.0,1.4857264140931763,4.0,31.0
445,45.0,0.9844688488467143,4.0,37.0
446,45.0,2.0415396611611256,4.0,52.0
447,45.0,1.8853987125822222,4.0,35.0
448,45.0,1.4704311603232811,4.0,35.0
449,45.0,1.7344307464057365,4.0,43.0
450,46.0,1.3295938506284408,4.0,28.0
451,46.0,1.6347355268638069,4.0,33.0
452,46.0,1.1842745016322846,4.0,31.0
453,46.0,1.4330823415108087,4.0,32.0
454,46.0,1.3953007648315303,4.0,32.0
455,46.0,1.7960542283554661,4.0,34.0
456,46.0,1.3471861471861473,4.0,25.0
457,46.0,2.3103673862892955,4.0,71.0
458,46.0,1.3295743273815739,4.0,26.0
459,46.0,1.433778857837181,4.0,31.0
460,47.0,1.477765726681128,4.0,29.0
461,47.0,2.1524755168661587,4.0,48.0
462,47.0,1.459507161767701,4.0,37.0
463,47.0,2.0515428958969144,4.0,41.0
464,47.0,2.3049106086721416,4.0,50.0
465,47.0,1.9985700180450106,4.0,43.0
466,47.0,2.5554124584830205,4.0,53.0
467,47.0,1.3369074683587256,4.0,26.0
468,47.0,1.799775028121485,4.0,43.0
469,47.0,1.495180681856885,4.0,31.0
470,48.0,1.5802403558860634,4.0,30.0
471,48.0,2.2844827586206895,4.0,42.0
472,48.0,1.9896366172855908,4.0,36.0
473,48.0,2.08236466290269,4.0,63.0
474,48.0,2.317727302827627,4.0,44.0
475,48.0,3.086029729639852,4.0,55.0
476,48.0,1.913907284768212,4.0,62.0
477,48.0,2.410156379145039,4.0,65.0
478,48.0,2.07909227432004,4.0,48.0
479,48.0,1.536205804925189,4.0,35.0
480,49.0,1.6819571865443423,4.0,30.0
481,49.0,2.4224269853156644,4.0,62.0
482,49.0,1.8182409575852199,4.0,35.0
483,49.0,1.6970642738710622,4.0,39.0
484,49.0,1.6725009723842863,4.0,45.0
485,49.0,1.9070984625449787,4.0,44.0
486,49.0,2.461257976298997,4.0,71.0
487,49.0,2.1545560899519045,4.0,45.0
488,49.0,1.9569471624266144,4.0,38.0
489,49.0,2.2684555058655778,4.0,44.0
490,50.0,1.9348463598112968,4.0,41.0
