,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,run,wolves,sheep,grass,tick
202,62,62,12,25,5,5,72,18,37.0,265.0,412.0,50
203,62,62,12,25,5,5,72,18,204.0,164.0,470.0,100
204,62,62,12,25,5,5,72,18,134.0,30.0,1182.0,150
205,62,62,12,25,5,5,72,19,45.0,189.0,606.0,50
206,62,62,12,25,5,5,72,19,121.0,245.0,270.0,100
207,62,62,12,25,5,5,72,19,206.0,56.0,910.0,150
208,62,62,12,25,5,5,72,20,48.0,158.0,636.0,50
209,62,62,12,25,5,5,72,20,103.0,293.0,257.0,100
210,62,62,12,25,5,5,72,20,262.0,74.0,654.0,150
211,62,62,12,25,5,5,72,21,63.0,212.0,465.0,50
212,62,62,12,25,5,5,72,21,202.0,151.0,480.0,100
213,62,62,12,25,5,5,72,21,156.0,39.0,1113.0,150
214,62,62,12,25,5,5,72,22,65.0,230.0,370.0,50
215,62,62,12,25,5,5,72,22,175.0,154.0,527.0,100
216,62,62,12,25,5,5,72,22,185.0,44.0,886.0,150
217,62,62,12,25,5,5,72,23,44.0,294.0,324.0,50
218,62,62,12,25,5,5,72,23,206.0,101.0,582.0,100
219,62,62,12,25,5,5,72,23,92.0,59.0,1044.0,150
220,62,62,12,25,5,5,72,24,59.0,216.0,424.0,50
221,62,62,12,25,5,5,72,24,166.0,151.0,482.0,100
222,62,62,12,25,5,5,72,24,163.0,67.0,776.0,150
223,62,62,12,25,5,5,72,25,45.0,242.0,463.0,50
224,62,62,12,25,5,5,72,25,174.0,225.0,341.0,100
225,62,62,12,25,5,5,72,25,121.0,37.0,1127.0,150
226,62,62,12,25,5,5,72,26,49.0,236.0,421.0,50
227,62,62,12,25,5,5,72,26,148.0,181.0,433.0,100
228,62,62,12,25,5,5,72,26,215.0,67.0,749.0,150
229,62,62,12,25,5,5,72,27,69.0,281.0,265.0,50
230,62,62,12,25,5,5,72,27,196.0,108.0,768.0,100
231,62,62,12,25,5,5,72,27,134.0,113.0,603.0,150
232,62,62,12,25,5,5,72,28,53.0,281.0,334.0,50
233,62,62,12,25,5,5,72,28,205.0,129.0,603.0,100
234,62,62,12,25,5,5,72,28,147.0,93.0,701.0,150
235,62,62,12,25,5,5,72,29,57.0,227.0,516.0,50
236,62,62,12,25,5,5,72,29,154.0,207.0,334.0,100
237,62,62,12,25,5,5,72,29,162.0,30.0,1166.0,150
238,62,62,12,25,5,5,72,30,57.0,217.0,451.0,50
239,62,62,12,25,5,5,72,30,188.0,161.0,414.0,100
240,62,62,12,25,5,5,72,30,141.0,67.0,843.0,150
241,62,62,12,25,5,5,72,31,58.0,222.0,461.0,50
242,62,62,12,25,5,5,72,31,167.0,213.0,419.0,100
243,62,62,12,25,5,5,72,31,235.0,60.0,729.0,150
244,62,62,12,25,5,5,72,32,67.0,161.0,579.0,50
245,62,62,12,25,5,5,72,32,162.0,168.0,469.0,100
246,62,62,12,25,5,5,72,32,161.0,46.0,977.0,150
247,62,62,12,25,5,5,72,33,50.0,228.0,413.0,50
248,62,62,12,25,5,5,72,33,174.0,192.0,460.0,100
249,62,62,12,25,5,5,72,33,163.0,29.0,1018.0,150
250,62,62,12,25,5,5,72,34,71.0,192.0,517.0,50
251,62,62,12,25,5,5,72,34,229.0,123.0,497.0,100
252,62,62,12,25,5,5,72,34,102.0,51.0,1148.0,150
253,62,62,12,25,5,5,72,35,62.0,276.0,314.0,50
254,62,62,12,25,5,5,72,35,247.0,55.0,764.0,100
255,62,62,12,25,5,5,72,35,63.0,83.0,1179.0,150
256,62,62,12,25,5,5,72,36,41.0,341.0,297.0,50
257,62,62,12,25,5,5,72,36,193.0,115.0,569.0,100
258,62,62,12,25,5,5,72,36,106.0,71.0,1016.0,150
259,62,62,12,25,5,5,72,37,75.0,285.0,311.0,50
