,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,run,mean_wolves,mean_sheep,mean_grass,wolves,sheep,grass
601,62,62,38,25,15,5,25,22,2362.3768220384704,2362.3768220384704,2306.2976282188747,2299.0,0.0,2369.0
602,62,62,38,25,15,5,25,23,2366.637691603688,2366.637691603688,2298.2976282188747,2397.0,0.0,2185.0
603,62,62,38,25,15,5,25,24,2352.7210249370214,2352.7210249370214,2312.339294885541,2063.0,0.0,2522.0
604,62,62,38,25,15,5,25,25,2367.681024937021,2367.681024937021,2306.5392948855415,2437.0,0.0,2377.0
605,62,62,38,25,15,5,25,26,2366.4887172447134,2366.4887172447134,2303.3469871932334,2406.0,0.0,2294.0
606,62,62,38,25,15,5,25,27,2366.2294579854542,2366.2294579854542,2310.2358760821226,2399.0,0.0,2480.0
607,62,62,38,25,15,5,25,28,2367.2294579854542,2367.2294579854542,2304.450161796408,2427.0,0.0,2318.0
608,62,62,38,25,15,5,25,29,2365.057044192351,2365.057044192351,2310.932920417097,2364.0,0.0,2506.0
609,62,62,38,25,15,5,25,30,2362.8237108590174,2362.8237108590174,2307.7662537504307,2297.0,0.0,2411.0
610,62,62,38,25,15,5,25,31,2363.339839891275,2363.339839891275,2307.9275440730116,2313.0,0.0,2416.0
611,62,62,38,25,15,5,25,32,2358.339839891275,2358.339839891275,2311.6150440730116,2153.0,0.0,2534.0
612,62,62,38,25,15,5,25,33,2365.1580217094565,2365.1580217094565,2305.7665592245266,2378.0,0.0,2341.0
613,62,62,38,25,15,5,25,34,2363.658021709456,2363.658021709456,2311.5606768715857,2327.0,0.0,2538.0
614,62,62,38,25,15,5,25,35,2365.943735995171,2365.943735995171,2309.3321054430144,2407.0,0.0,2460.0
615,62,62,38,25,15,5,25,36,2361.4159582173934,2361.4159582173934,2310.7765498874587,2244.0,0.0,2512.0
616,62,62,38,25,15,5,25,37,2363.470012271447,2363.470012271447,2312.208982319891,2320.0,0.0,2565.0
617,62,62,38,25,15,5,25,38,2365.4436964819733,2365.4436964819733,2306.051087583049,2395.0,0.0,2331.0
618,62,62,38,25,15,5,25,39,2360.8539528922297,2360.8539528922297,2311.358779890741,2216.0,0.0,2538.0
619,62,62,38,25,15,5,25,40,2365.4539528922296,2365.4539528922296,2302.4087798907412,2400.0,0.0,2180.0
620,62,62,38,25,15,5,25,41,2364.6002943556446,2364.6002943556446,2303.4087798907412,2365.0,0.0,2221.0
621,62,62,38,25,15,5,25,42,2365.719341974692,2365.719341974692,2309.361160843122,2412.0,0.0,2471.0
622,62,62,38,25,15,5,25,43,2365.8588768584127,2365.8588768584127,2305.3379050291687,2418.0,0.0,2298.0
623,62,62,38,25,15,5,25,44,2365.267967767504,2365.267967767504,2304.678814120078,2392.0,0.0,2269.0
624,62,62,38,25,15,5,25,45,2365.6457455452814,2365.6457455452814,2308.3677030089666,2409.0,0.0,2435.0
625,62,62,38,25,15,5,25,46,2363.689223806151,2363.689223806151,2305.954659530706,2319.0,0.0,2324.0
626,62,62,38,25,15,5,25,47,2364.5190110401936,2364.5190110401936,2306.4652978285785,2358.0,0.0,2348.0
627,62,62,38,25,15,5,25,48,2361.164844373527,2361.164844373527,2297.590297828578,2197.0,0.0,1922.0
628,62,62,38,25,15,5,25,49,2364.695456618425,2364.695456618425,2306.916828440823,2370.0,0.0,2379.0
629,62,62,38,25,15,5,25,50,2363.135456618425,2363.135456618425,2309.9368284408233,2292.0,0.0,2530.0
630,62,62,38,25,15,5,25,51,2364.7825154419547,2364.7825154419547,2304.6623186369015,2376.0,0.0,2261.0
631,62,62,38,25,15,5,25,52,2364.090207749647,2364.090207749647,2308.3930878676706,2340.0,0.0,2455.0
632,62,62,38,25,15,5,25,53,2362.9392643534206,2362.9392643534206,2307.9968614525765,2279.0,0.0,2434.0
633,62,62,38,25,15,5,25,54,2363.494819908976,2363.494819908976,2308.607972563688,2309.0,0.0,2467.0
634,62,62,38,25,15,5,25,55,2365.385728999885,2365.385728999885,2303.33524529096,2413.0,0.0,2177.0
635,62,62,38,25,15,5,25,56,2363.4035861427424,2363.4035861427424,2309.942388148103,2302.0,0.0,2547.0
636,62,62,38,25,15,5,25,57,2364.579024739234,2364.579024739234,2307.5739670954717,2369.0,0.0,2412.0
637,62,62,38,25,15,5,25,58,2364.0445419806133,2364.0445419806133,2308.746380888575,2338.0,0.0,2480.0
638,62,62,38,25,15,5,25,59,2364.688609777223,2364.688609777223,2306.2379063123035,2376.0,0.0,2332.0
639,62,62,38,25,15,5,25,60,2365.05527644389,2365.05527644389,2306.3045729789706,2398.0,0.0,2336.0
640,62,62,38,25,15,5,72,1,695.0,0.0,1994.0,695.0,0.0,1994.0
641,62,62,38,25,15,5,72,2,707.5,707.5,1990.5,720.0,0.0,1987.0
642,62,62,38,25,15,5,72,3,677.5,677.5,1977.8333333333333,630.0,0.0,1949.0
643,62,62,38,25,15,5,72,4,708.25,708.25,1968.3333333333333,753.0,0.0,1911.0
644,62,62,38,25,15,5,72,5,710.45,710.45,1976.7333333333331,764.0,0.0,1953.0
645,62,62,38,25,15,5,72,6,704.9499999999999,704.9499999999999,1978.3999999999999,731.0,4.0,1963.0
646,62,62,38,25,15,5,72,7,707.3785714285714,707.3785714285714,1980.8285714285714,748.0,0.0,1980.0
647,62,62,38,25,15,5,72,8,713.5035714285714,713.5035714285714,1970.9535714285714,797.0,0.0,1901.0
648,62,62,38,25,15,5,72,9,699.5035714285714,699.5035714285714,1983.9535714285714,671.0,0.0,2018.0
649,62,62,38,25,15,5,72,10,704.4035714285714,704.4035714285714,1986.6535714285715,720.0,0.0,2045.0
650,62,62,38,25,15,5,72,11,706.7672077922077,706.7672077922077,1976.8353896103895,746.0,0.0,1937.0
651,62,62,38,25,15,5,72,12,711.100541125541,711.100541125541,1973.668722943723,798.0,0.0,1899.0
652,62,62,38,25,15,5,72,13,705.3313103563104,705.3313103563104,1980.3610306360306,723.0,0.0,1986.0
653,62,62,38,25,15,5,72,14,704.1884532134533,704.1884532134533,1980.5753163503164,707.0,0.0,1989.0
654,62,62,38,25,15,5,72,15,697.1217865467866,697.1217865467866,1984.5753163503166,601.0,0.0,2049.0
655,62,62,38,25,15,5,72,16,704.5592865467866,704.5592865467866,1983.1378163503166,720.0,0.0,2026.0
656,62,62,38,25,15,5,72,17,708.1475218409041,708.1475218409041,1973.7848751738459,781.0,0.0,1867.0
657,62,62,38,25,15,5,72,18,705.925299618682,705.925299618682,1982.4515418405126,741.0,0.0,2023.0
658,62,62,38,25,15,5,72,19,698.6621417239452,698.6621417239452,1987.4515418405128,603.0,0.0,2118.0
659,62,62,38,25,15,5,72,20,701.2621417239452,701.2621417239452,1982.401541840513,655.0,0.0,2017.0
660,62,62,38,25,15,5,72,21,704.02404648585,704.02404648585,1980.1158275547984,713.0,0.0,1969.0
661,62,62,38,25,15,5,72,22,708.7513192131228,708.7513192131228,1974.1158275547984,817.0,2.0,1837.0
662,62,62,38,25,15,5,72,23,709.1861018218184,709.1861018218184,1977.681044946103,827.0,1.0,1919.0
663,62,62,38,25,15,5,72,24,702.6027684884851,702.6027684884851,1980.181044946103,669.0,0.0,1979.0
664,62,62,38,25,15,5,72,25,706.0427684884852,706.0427684884852,1981.581044946103,755.0,0.0,2014.0
665,62,62,38,25,15,5,72,26,701.1966146423313,701.1966146423313,1981.1579680230263,629.0,0.0,2003.0
666,62,62,38,25,15,5,72,27,706.8262442719611,706.8262442719611,1980.7135235785818,781.0,0.0,1991.0
667,62,62,38,25,15,5,72,28,705.076244271961,705.076244271961,1979.713523578582,732.0,0.0,1963.0
668,62,62,38,25,15,5,72,29,706.8348649616162,706.8348649616162,1979.1962821992715,783.0,0.0,1948.0
669,62,62,38,25,15,5,72,30,706.7015316282829,706.7015316282829,1979.4296155326049,779.0,0.0,1955.0
670,62,62,38,25,15,5,72,31,706.3144348540892,706.3144348540892,1978.171551016476,767.0,3.0,1916.0
671,62,62,38,25,15,5,72,32,706.2831848540892,706.2831848540892,1979.390301016476,766.0,0.0,1955.0
672,62,62,38,25,15,15,25,1,0.0,0.0,2601.0,0.0,0.0,2601.0
673,62,62,38,25,15,15,25,2,0.0,0.0,2601.0,0.0,0.0,2601.0
674,62,62,38,25,15,15,72,1,0.0,0.0,1319.0,0.0,0.0,1319.0
675,62,62,38,72,5,5,25,1,361.0,5.0,2370.0,361.0,5.0,2370.0
676,62,62,38,72,5,5,25,2,306.0,306.0,2378.0,251.0,7.0,2386.0
677,62,62,38,72,5,5,25,3,391.0,391.0,2314.6666666666665,506.0,8.0,2196.0
678,62,62,38,72,5,5,25,4,341.25,341.25,2371.4166666666665,307.0,2.0,2423.0
679,62,62,38,72,5,5,25,5,349.25,349.25,2325.8166666666666,347.0,13.0,2195.0
680,62,62,38,72,5,5,25,6,395.75,395.75,2360.6499999999996,626.0,0.0,2404.0
681,62,62,38,72,5,5,25,7,355.89285714285717,355.89285714285717,2344.792857142857,347.0,3.0,2293.0
682,62,62,38,72,5,5,25,8,347.26785714285717,347.26785714285717,2355.167857142857,278.0,9.0,2376.0
683,62,62,38,72,5,5,25,9,372.3789682539683,372.3789682539683,2324.278968253968,504.0,14.0,2098.0
684,62,62,38,72,5,5,25,10,354.7789682539683,354.7789682539683,2352.978968253968,328.0,6.0,2385.0
685,62,62,38,72,5,5,25,11,367.7789682539683,367.7789682539683,2321.0698773448776,471.0,14.0,2034.0
686,62,62,38,72,5,5,25,12,355.8623015873016,355.8623015873016,2345.569877344877,328.0,4.0,2328.0
687,62,62,38,72,5,5,25,13,347.1699938949939,347.1699938949939,2346.262185037185,215.0,12.0,2337.0
688,62,62,38,72,5,5,25,14,350.45570818070826,350.45570818070826,2350.9764707514705,261.0,2.0,2403.0
689,62,62,38,72,5,5,25,15,362.7223748473749,362.7223748473749,2350.9764707514705,445.0,1.0,2403.0
690,62,62,38,72,5,5,72,1,309.0,11.0,1318.0,309.0,11.0,1318.0
