,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,runs,CV_sheep,CV_wolves,CV_grass
128,62,62,38,25,15,5,72,7,0.47387910220727386,13.006594111627201,26.549526269841444
129,62,62,38,25,15,5,72,10,0.41778637429367477,13.127240763511999,26.414572254744435
130,62,62,38,25,15,5,72,15,0.35074031640462494,12.084116217621778,28.254926955863755
131,62,62,38,25,15,5,72,20,0.33301990276723364,11.177267416285957,29.577455987607536
132,62,62,38,25,15,15,25,3,0.0,0.5773502691896258,0.0
133,62,62,38,25,15,15,25,5,0.0,0.35355339059327373,0.0
134,62,62,38,25,15,15,25,7,0.0,0.3933822164524865,0.0
135,62,62,38,25,15,15,25,10,0.0,0.5376528917157056,0.0
136,62,62,38,25,15,15,25,15,0.0,0.5271343257105141,0.0
137,62,62,38,25,15,15,25,20,0.1669778816860935,0.34881955818887805,11.715399511424977
138,62,62,38,25,15,15,72,3,0.5773502691896257,0.5773502691896256,23.819806386690857
139,62,62,38,25,15,15,72,5,0.3535533905932738,0.35355339059327373,8.992192399478057
140,62,62,38,25,15,15,72,7,0.25819888974716104,0.35675303400633784,7.4572365285129925
141,62,62,38,25,15,15,72,10,0.23887444969422786,0.33175848786054574,7.672984736386631
142,62,62,38,25,15,15,72,15,0.18823026740905208,0.31905821389130246,6.4143710250182355
143,62,62,38,25,15,15,72,20,0.2210760606491033,0.2904894514855947,6.492939891088431
144,62,62,38,72,5,5,25,3,1.7008401285415224,3.669742900132332,18.24066163670157
145,62,62,38,72,5,5,25,5,1.6549073724992425,3.1789573806856453,19.806120119347362
146,62,62,38,72,5,5,25,7,1.3188255903516624,3.2389853304453555,17.73273369565758
147,62,62,38,72,5,5,25,10,1.418026318378943,3.4043617887565003,16.910071581855984
148,62,62,38,72,5,5,25,15,1.4863550324695889,3.211364490087144,16.525780904171636
149,62,62,38,72,5,5,25,20,1.1907095361490323,3.509371216907566,16.15548346234513
150,62,62,38,72,5,5,72,3,1.655665446331305,3.3877754005952285,11.305021042190722
151,62,62,38,72,5,5,72,5,2.091650066335189,4.265333679893359,9.983830693067748
152,62,62,38,72,5,5,72,7,1.969076365197326,4.116779033504117,10.400427257680182
153,62,62,38,72,5,5,72,10,1.764625456664804,3.7520715806359584,11.666478784592895
154,62,62,38,72,5,5,72,15,1.2919309095746307,4.098182038191098,11.865790456995953
155,62,62,38,72,5,5,72,20,1.238547536431283,4.281787732775907,10.70686435780437
156,62,62,38,72,5,15,25,3,1.4054267192334904,0.8063181322585283,3.763626020402304
157,62,62,38,72,5,15,25,5,1.4780407643111348,0.6848765353209393,5.959825281151245
158,62,62,38,72,5,15,25,7,1.8766553704268618,0.8937346713768803,8.299048126202429
159,62,62,38,72,5,15,25,10,1.8492760633439707,0.733281271692407,8.765143062036367
160,62,62,38,72,5,15,25,15,1.6720508976167312,0.6959161377790568,8.657788196267658
161,62,62,38,72,5,15,25,20,1.773063218058559,0.7683971296686029,9.899870881586011
162,62,62,38,72,5,15,72,3,4.745989479116142,2.836832573067901,20.361100565213956
163,62,62,38,72,5,15,72,5,3.517445093663388,1.3245662321397176,12.666407737471257
164,62,62,38,72,5,15,72,7,2.444464001846105,1.7590184491857388,10.560352105252447
165,62,62,38,72,5,15,72,10,1.8129598933155855,0.8615019128424626,7.417333894130162
166,62,62,38,72,5,15,72,15,1.7727992152519574,0.8640074237241261,7.941912131813121
167,62,62,38,72,5,15,72,20,1.7854353810958303,0.8798426901299488,8.114737046323825
168,62,62,38,72,15,5,25,3,0.0,101.0569608580269,515.4417667518618
169,62,62,38,72,15,5,25,5,0.0,29.411028700641268,304.3465807587498
170,62,62,38,72,15,5,25,7,0.0,25.299693604786675,259.8633419539908
171,62,62,38,72,15,5,25,10,0.0,22.614470324652544,147.7111313269206
172,62,62,38,72,15,5,25,15,0.0,24.13606480164065,97.66009994933223
173,62,62,38,72,15,5,25,20,0.0,26.420062620449002,113.16923721627226
174,62,62,38,72,15,5,72,3,0.0,18.930228044669594,52.39247247768932
175,62,62,38,72,15,5,72,5,0.0,22.19235225412317,44.29421839451393
176,62,62,38,72,15,5,72,7,0.0,18.80199302813669,44.743944691375276
177,62,62,38,72,15,5,72,10,0.0,19.033829507357115,42.986487974915015
178,62,62,38,72,15,5,72,15,0.0,19.235545624600494,42.0143248005904
179,62,62,38,72,15,5,72,20,0.0,19.856988302320367,40.093656325466476
180,62,62,38,72,15,15,25,3,0.0,1.0,0.0
181,62,62,38,72,15,15,25,5,0.0,0.8295220287108142,0.0
182,62,62,38,72,15,15,25,7,0.0,0.9423023055222026,0.0
183,62,62,38,72,15,15,25,10,0.0,0.6572670690061992,0.0
184,62,62,38,72,15,15,25,15,0.0,0.7038656329643412,0.0
185,62,62,38,72,15,15,25,20,0.0,0.6896737524587523,0.0
186,62,62,38,72,15,15,72,3,0.0,1.1547005383792512,30.234761346419255
187,62,62,38,72,15,15,72,5,0.0,0.6089028755593184,17.026181117243052
188,62,62,38,72,15,15,72,7,0.0,0.5152723198647208,14.35678121968041
