density,directions,combination_number,ticks,burn_percentage,time_label,burn_percentage_noise,ticks_noise,mean_burn,mean_burn_noise,sd_burn,sd_burn_noise,trend_burn,trend_burn_noise,total_ticks,sample_size,sample_method,summarise_runs,datapoints,run
60,8,120,268,99.80851063829788,end,104.14592957212625,266,53.32051045732818,53.1690840480699,30.536780436074746,30.691734033313864,0.3988094886962772,0.3948100177214082,268,198,full,summarised,endpoints,NA
61,4,121,705,81.01674609995572,end,73.90640722600848,697,51.61234900635923,51.61676783239561,25.438350692409703,25.520431985220473,0.13637596907060612,0.12541193608054646,705,198,full,summarised,endpoints,NA
61,8,122,270,99.82909578523912,end,97.99979259164427,262,53.62625405446353,53.15715685592473,30.7395895080458,30.813033322033828,0.39932481467191183,0.3935568433936531,270,198,full,summarised,endpoints,NA
62,4,123,506,87.92903972232935,end,86.32034287443015,504,50.14705054202924,50.17302566316769,28.61198569187897,28.655769995961645,0.2005674153353392,0.19746207060001553,506,198,full,summarised,endpoints,NA
62,8,124,267,99.89208423191442,end,101.7850429560291,272,53.23556925794231,53.71613563386033,30.510494274097763,30.905732513348706,0.399645607125187,0.3985673547995642,267,198,full,summarised,endpoints,NA
63,4,125,485,91.9995956839259,end,90.81004174661922,480,52.88405452259449,53.09705753662652,29.54975510792319,29.826478118726673,0.22041041749945833,0.21378036174446957,485,198,full,summarised,endpoints,NA
63,8,126,267,99.92308640011264,end,100.82785312518931,269,53.1959251535616,53.22400118999877,30.497126065004437,30.5485184447576,0.39927294304146527,0.3941694304332341,267,198,full,summarised,endpoints,NA
64,4,127,453,92.92190114638228,end,93.58697730703543,447,53.145626276705606,53.227933060589855,30.175823275487424,30.32245449073494,0.24108682611346322,0.23188795323537092,453,198,full,summarised,endpoints,NA
64,8,128,268,99.94246835759668,end,99.02101300737596,278,53.49178238556281,53.27869105823113,30.561568532402777,30.633303364780687,0.39917909192377266,0.39344816962431267,268,198,full,summarised,endpoints,NA
65,4,129,432,95.14565483476132,end,89.94257226897206,428,54.41195595927459,54.24718534470771,30.27035924993215,30.510419284901612,0.25723210589292794,0.24668555623782457,432,198,full,summarised,endpoints,NA
65,8,130,266,99.9409594095941,end,99.58121810889966,270,53.150908382031524,53.43123384811848,30.436794079944196,30.422600790487436,0.3998220530836177,0.3943730528220086,266,198,full,summarised,endpoints,NA
66,4,131,413,94.80736208189228,end,91.83115104142313,421,53.720700282229565,53.69924501457604,30.55884015137135,30.6768686999286,0.266502079607624,0.25751197170203166,413,198,full,summarised,endpoints,NA
66,8,132,266,99.93845152559128,end,101.89148417548562,271,53.153081421749256,52.96913368036823,30.432798861693037,30.647415848338735,0.39975480217867476,0.39684629452883385,266,198,full,summarised,endpoints,NA
67,4,133,391,96.0866044207317,end,93.13266221093672,383,53.24071138286081,53.018826914287175,30.64263305160471,30.86539761199789,0.278090198548027,0.27205867337922895,391,198,full,summarised,endpoints,NA
67,8,134,266,99.97149620853658,end,95.28171996373092,265,53.15653296816063,53.26834337419577,30.41394275720977,30.541690598962408,0.39941734210208163,0.39460902696258127,266,198,full,summarised,endpoints,NA
68,4,135,374,96.79075437198182,end,94.14543821430551,367,52.82244898663133,52.868212520666034,30.42987107383443,30.771180636533597,0.28797373462854176,0.2840281947658616,374,198,full,summarised,endpoints,NA
68,8,136,266,99.96254155546193,end,98.08150539439659,272,53.168163612829765,53.2827370391786,30.44879462690599,30.448990163812827,0.39994481175966823,0.3946923790820229,266,198,full,summarised,endpoints,NA
69,4,137,370,97.7954388389772,end,100.24943186970411,380,53.70818486899392,53.96174824002819,30.654132419770402,30.458169806599532,0.2947708571763647,0.2836012623951916,370,198,full,summarised,endpoints,NA
69,8,138,264,99.98150718651478,end,104.10011431369735,270,52.81645317015994,52.892993758013226,30.28426014824444,30.894600762483616,0.3999377304147166,0.40203080197330154,264,198,full,summarised,endpoints,NA
70,4,139,361,98.30585663539485,end,99.4405363405446,370,53.771006625679846,53.952541340437435,30.797617407782766,30.842637779052144,0.3026392501869983,0.29445855439132534,361,198,full,summarised,endpoints,NA
70,8,140,265,99.97502100506392,end,100.14408337115505,275,52.97824746430908,52.99772549927102,30.35652629599109,30.652258901182662,0.39977185917831537,0.3982645135761466,265,198,full,summarised,endpoints,NA
71,4,141,367,97.98356139637808,end,99.14566589234938,366,55.335913147200685,55.25748609980737,31.347828859081538,31.40196034317027,0.30786110471633227,0.2966620378784902,367,198,full,summarised,endpoints,NA
71,8,142,266,99.99550844412504,end,99.34702868831012,274,53.14831592424436,53.03298460717663,30.46824342087116,30.31382526147151,0.4002173447051044,0.3917487940399754,266,198,full,summarised,endpoints,NA
72,4,143,355,98.62807576562224,end,96.52809833467761,364,54.91902737414198,54.73615827368672,31.13351923045514,31.241691188072412,0.31377595709090284,0.30499377655271614,355,198,full,summarised,endpoints,NA
72,8,144,264,99.9874903292927,end,104.44928869199835,264,52.805925154769376,53.28299362993276,30.269236904384062,30.131021722988432,0.3996643797813604,0.39295345518584335,264,198,full,summarised,endpoints,NA
73,4,145,339,99.1757644295594,end,98.77409926451125,332,53.559948356084426,53.58929219806252,30.82377740323986,31.02083441856142,0.3198853942514818,0.314217210499269,339,198,full,summarised,endpoints,NA
73,8,146,264,99.9927296285904,end,102.6383805658561,266,52.86207381083137,53.04489652583438,30.263991904848616,30.33670860847501,0.3996693969064293,0.3960621411853131,264,198,full,summarised,endpoints,NA
74,4,147,332,99.23330390024336,end,100.29379192224005,330,53.49318823621091,53.8957857299724,30.62442459763503,31.10574540724778,0.32433682126739605,0.3233916131676453,332,198,full,summarised,endpoints,NA
74,8,148,264,99.99785541186816,end,99.12031526954596,267,52.79755040902465,52.73274043253774,30.314122385946412,30.310702305437594,0.40027766065046844,0.3950317311173138,264,198,full,summarised,endpoints,NA
75,4,149,327,99.31030078549075,end,104.37864154733688,317,53.42623288185215,53.28958287905308,30.71962574970024,30.68600288152848,0.3302247575667126,0.32333315494686676,327,198,full,summarised,endpoints,NA
75,8,150,265,99.9935952177626,end,96.76794867874925,262,53.0608899425346,52.96213198027156,30.363792936036102,30.363451367854,0.3999494517652686,0.3940286899410398,265,198,full,summarised,endpoints,NA
76,4,151,326,99.36582600113395,end,101.25737394513428,336,53.86707498309338,53.94634909346516,30.85376861055441,30.881726283814356,0.333857741281504,0.3267351979836451,326,198,full,summarised,endpoints,NA
76,8,152,264,99.99790698647914,end,96.42768900433578,254,52.85914759405284,53.02171010096097,30.297452819694893,30.136908352477548,0.40019852903735187,0.3928889013278045,264,198,full,summarised,endpoints,NA
77,4,153,319,99.52709297765652,end,98.88158757590548,325,53.28640183504923,53.2091125780621,30.701624184513378,30.798186753880394,0.3377360812876752,0.33256528520688267,319,198,full,summarised,endpoints,NA
77,8,154,264,99.99793482301432,end,105.29028295272308,265,52.859900925279064,53.05372165654438,30.28080634316111,30.04380931792822,0.3999164253079369,0.39060313307138583,264,198,full,summarised,endpoints,NA
78,4,155,314,99.61413553600644,end,104.00438957832296,322,53.15564154855029,53.52275553870356,30.622712317565373,30.828941347408875,0.341320105671675,0.33881340018461975,314,198,full,summarised,endpoints,NA
